timestamp,pair,direction,confidence,qualityScore,strategy,entryPrice,expiryPrice,won,session,weekday,utcHour,noTradeReason,callWouldWin,putWouldWin
2026-07-15T09:40:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14201,1.14192,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:41:00.000Z,EUR/USD,PUT,58,85,Trend Corridor Breakout,1.14199,1.14214,false,London,Wed,9,"",,
2026-07-15T09:42:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14208,1.14217,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:43:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14214,1.14214,,London,Wed,9,"Insufficient indicator alignment",false,false
2026-07-15T09:44:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14212,1.14207,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T09:45:00.000Z,EUR/USD,PUT,50,80,Trend Corridor Breakout,1.14209,1.14215,false,London,Wed,9,"",,
2026-07-15T09:46:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14208,1.14221,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:47:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.14216,1.14222,,London,Wed,9,"Insufficient indicator alignment",true,false
2026-07-15T09:48:00.000Z,EUR/USD,WAIT,0,0,No Setup Detected,1.1422,1.14211,,London,Wed,9,"Insufficient indicator alignment",false,true
2026-07-15T07:21:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34119,1.34131,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:22:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.3412,1.34091,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:23:00.000Z,GBP/USD,PUT,54,80,Trend Corridor Breakout,1.34096,1.34069,true,Asian,Wed,7,"",,
2026-07-15T07:24:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34085,1.34055,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:25:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34061,1.34047,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:26:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.3405,1.34043,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:27:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34044,1.34034,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:28:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34046,1.34074,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:29:00.000Z,GBP/USD,PUT,53,80,Trend Corridor Breakout,1.34065,1.34078,false,Asian,Wed,7,"",,
2026-07-15T07:30:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34072,1.34078,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:31:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34075,1.34093,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:32:00.000Z,GBP/USD,CALL,51,80,Trend Corridor Breakout,1.34081,1.34106,true,Asian,Wed,7,"",,
2026-07-15T07:33:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34094,1.34117,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:34:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34111,1.34092,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:35:00.000Z,GBP/USD,PUT,54,85,Trend Corridor Breakout,1.34106,1.34077,true,Asian,Wed,7,"",,
2026-07-15T07:36:00.000Z,GBP/USD,PUT,60,85,Trend Corridor Breakout,1.34084,1.34071,true,Asian,Wed,7,"",,
2026-07-15T07:37:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34074,1.34076,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:38:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34074,1.34067,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:39:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34068,1.3407,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:40:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34065,1.34074,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:41:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34071,1.34062,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:42:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34069,1.34052,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:43:00.000Z,GBP/USD,PUT,55,80,Trend Corridor Breakout,1.34061,1.34076,false,Asian,Wed,7,"",,
2026-07-15T07:44:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34071,1.34058,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:45:00.000Z,GBP/USD,PUT,50,80,Trend Corridor Breakout,1.34065,1.34044,true,Asian,Wed,7,"",,
2026-07-15T07:46:00.000Z,GBP/USD,PUT,56,85,Trend Corridor Breakout,1.34049,1.34039,true,Asian,Wed,7,"",,
2026-07-15T07:47:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34042,1.34033,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:48:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34038,1.34052,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:49:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34045,1.34057,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:50:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34055,1.34056,,Asian,Wed,7,"Insufficient indicator alignment",true,false
2026-07-15T07:51:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.34054,1.3405,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:52:00.000Z,GBP/USD,WAIT,0,0,No Setup Detected,1.3405,1.34041,,Asian,Wed,7,"Insufficient indicator alignment",false,true
2026-07-15T07:53:00.000Z,GBP/USD,PUT,51,85,Trend Corridor Breakout,1.34044,1.3404,true,Asian,Wed,7,"",,
